"Name","SamAccountName","GroupScope","GroupCategory","Description","DistinguishedName"
"Publicadores de certificados","Publicadores de certificados","DomainLocal","Security","Los miembros de este grupo pueden publicar certificados en el directorio","CN=Publicadores de certificados,CN=Users,DC=almerialogitech,DC=local"
"Admins. del dominio","Admins. del dominio","Global","Security","Administradores designados del dominio","CN=Admins. del dominio,CN=Users,DC=almerialogitech,DC=local"
"Usuarios del dominio","Usuarios del dominio","Global","Security","Todos los usuarios del dominio","CN=Usuarios del dominio,CN=Users,DC=almerialogitech,DC=local"
"Invitados del dominio","Invitados del dominio","Global","Security","Todos los invitados del dominio","CN=Invitados del dominio,CN=Users,DC=almerialogitech,DC=local"
"Propietarios del creador de directivas de grupo","Propietarios del creador de directivas de grupo","Global","Security","Los miembros de este grupo pueden modificar la directiva de grupo del dominio","CN=Propietarios del creador de directivas de grupo,CN=Users,DC=almerialogitech,DC=local"
"Servidores RAS e IAS","Servidores RAS e IAS","DomainLocal","Security","Los servidores de este grupo pueden obtener propiedades de acceso remoto de los usuarios","CN=Servidores RAS e IAS,CN=Users,DC=almerialogitech,DC=local"
"Opers. de servidores","Opers. de servidores","DomainLocal","Security","Los miembros pueden administrar servidores del dominio","CN=Opers. de servidores,CN=Builtin,DC=almerialogitech,DC=local"
"Opers. de cuentas","Opers. de cuentas","DomainLocal","Security","Los miembros pueden administrar cuentas de usuario y de grupo del dominio.","CN=Opers. de cuentas,CN=Builtin,DC=almerialogitech,DC=local"
"Acceso compatible con versiones anteriores de Windows 2000","Acceso compatible con versiones anteriores de Windows 2000","DomainLocal","Security","Un grupo de compatibilidad anterior que permite acceso de lectura a todos los usuarios y grupos en el dominio","CN=Acceso compatible con versiones anteriores de Windows 2000,CN=Builtin,DC=almerialogitech,DC=local"
"Creadores de confianza de bosque de entrada","Creadores de confianza de bosque de entrada","DomainLocal","Security","Los miembros de este grupo pueden crear confianza de entrada unidireccional a este bosque","CN=Creadores de confianza de bosque de entrada,CN=Builtin,DC=almerialogitech,DC=local"
"Grupo de acceso de autorización de Windows","Grupo de acceso de autorización de Windows","DomainLocal","Security","Los miembros de este grupo tiene acceso al atributo tokenGroupsGlobalAndUniversal calculado en objetos de usuario","CN=Grupo de acceso de autorización de Windows,CN=Builtin,DC=almerialogitech,DC=local"
"Servidores de licencias de Terminal Server","Servidores de licencias de Terminal Server","DomainLocal","Security","Los miembros de este grupo pueden actualizar las cuentas de usuario en Active Directory con información sobre la emisión de licencias con fines de seguimiento e informes de uso de licencias CAL por usuario de TS.","CN=Servidores de licencias de Terminal Server,CN=Builtin,DC=almerialogitech,DC=local"
"Grupo de replicación de contraseña RODC permitida","Grupo de replicación de contraseña RODC permitida","DomainLocal","Security","Los miembros de este grupo pueden replicar las contraseñas a todos los controladores de dominio de solo lectura en el dominio.","CN=Grupo de replicación de contraseña RODC permitida,CN=Users,DC=almerialogitech,DC=local"
"Grupo de replicación de contraseña RODC denegada","Grupo de replicación de contraseña RODC denegada","DomainLocal","Security","Los miembros de este grupo no pueden replicar las contraseñas a ningún controlador de dominio de solo lectura en el dominio.","CN=Grupo de replicación de contraseña RODC denegada,CN=Users,DC=almerialogitech,DC=local"
"Controladores de dominio de sólo lectura","Controladores de dominio de sólo lectura","Global","Security","Los miembros de este grupo son controladores de dominio de solo lectura en el dominio.","CN=Controladores de dominio de sólo lectura,CN=Users,DC=almerialogitech,DC=local"
"Enterprise Domain Controllers de sólo lectura","Enterprise Domain Controllers de sólo lectura","Universal","Security","Los miembros de este grupo son controladores de dominio de solo lectura en la empresa.","CN=Enterprise Domain Controllers de sólo lectura,CN=Users,DC=almerialogitech,DC=local"
"Controladores de dominio clonables","Controladores de dominio clonables","Global","Security","Se pueden clonar los miembros del grupo que sean controladores de dominio.","CN=Controladores de dominio clonables,CN=Users,DC=almerialogitech,DC=local"
"Protected Users","Protected Users","Global","Security","Los miembros de este grupo tienen protecciones adicionales frente a las amenazas contra la seguridad de autenticación. Consulte http://go.microsoft.com/fwlink/?LinkId=298939 para obtener más información.","CN=Protected Users,CN=Users,DC=almerialogitech,DC=local"
"Administradores clave","Administradores clave","Global","Security","Los miembros de este grupo pueden realizar operaciones administrativas en los objetos clave del dominio.","CN=Administradores clave,CN=Users,DC=almerialogitech,DC=local"
"Administradores clave de la organización","Administradores clave de la organización","Universal","Security","Los miembros de este grupo pueden realizar operaciones administrativas en los objetos clave del bosque.","CN=Administradores clave de la organización,CN=Users,DC=almerialogitech,DC=local"
"DnsAdmins","DnsAdmins","DomainLocal","Security","Grupo de administradores de DNS","CN=DnsAdmins,CN=Users,DC=almerialogitech,DC=local"
"DnsUpdateProxy","DnsUpdateProxy","Global","Security","Clientes DNS que tienen permiso para efectuar actualizaciones dinámicas en nombre de otros clientes (tales como servidores DHCP).","CN=DnsUpdateProxy,CN=Users,DC=almerialogitech,DC=local"
"GG_Direccion","GG_Direccion","Global","Security",,"CN=GG_Direccion,OU=Grupos,OU=AlmeriaLogiTech,DC=almerialogitech,DC=local"
"GG_IT_Admins","GG_IT_Admins","Global","Security",,"CN=GG_IT_Admins,OU=Grupos,OU=AlmeriaLogiTech,DC=almerialogitech,DC=local"
"GG_Operaciones","GG_Operaciones","Global","Security",,"CN=GG_Operaciones,OU=Grupos,OU=AlmeriaLogiTech,DC=almerialogitech,DC=local"
"GG_Finanzas","GG_Finanzas","Global","Security",,"CN=GG_Finanzas,OU=Grupos,OU=AlmeriaLogiTech,DC=almerialogitech,DC=local"
"GG_RRHH","GG_RRHH","Global","Security",,"CN=GG_RRHH,OU=Grupos,OU=AlmeriaLogiTech,DC=almerialogitech,DC=local"
"GG_AtencionClientes","GG_AtencionClientes","Global","Security",,"CN=GG_AtencionClientes,OU=Grupos,OU=AlmeriaLogiTech,DC=almerialogitech,DC=local"
